iso3,any_cov,bureau_cov,registry_cov,depth_credit_info_0_8,legal_rights_0_12,lowcov2019_z,lowbureau2019_z,lowregistry2019_z,lowdepth2019_z,lowrights2019_z,lowcov2019_bmedian,gdp_pc_year,gdp_pc,privcredit_gdp_year,privcredit_gdp,acct_own_rate,lgdppc
PAK,11.7,6.7,11.7,7,2,0.938291910757264,0.757459814111935,0.177750543916625,-0.404052735199587,1.2571730351812,1,2023,1360.32417758419,2023,12.0203955111754,0.183580493624924,7.2154783161962
PAN,77,77,0,8,8,-1.11911619390144,-1.32813907889085,0.664666045463761,-0.770343532530054,-0.648229846265308,0,2023,18797.1933894611,2020,100.153891550374,0.6117931213435,9.84146284987889
PER,100,100,39.4,8,7,-1.84377754776285,-2.01048295569119,-0.975032310173601,-0.770343532530054,-0.330662699357556,0,2023,7919.04634828547,2023,42.9491111931795,0.499496500598139,8.97702606698852
PHL,13.5,13.5,0,7,1,0.881579283063763,0.55572336357966,0.664666045463761,-0.404052735199587,1.57474018208895,1,2023,3804.08274131718,2023,48.3110407107995,0.335826965357432,8.24383017456363
POL,100,100,0,8,7,-1.84377754776285,-2.01048295569119,0.664666045463761,-0.770343532530054,-0.330662699357556,0,2023,22145.2660647429,2023,34.7075227346327,0.861023997139783,10.0053790309495
PRY,59.9,59.9,23.9,7,1,-0.58034623081317,-0.820831240052334,-0.329973312397481,-0.404052735199587,1.57474018208895,0,2023,6303.26495017292,2023,52.2060179155522,0.458120019030392,8.74882302419571
PSE,22.9,0,22.9,8,8,0.585413338442143,0.956229552136382,-0.288356602863538,-0.770343532530054,-0.648229846265308,1,2023,3607.41611858821,2023,52.7325722326952,0.384866572143026,8.19074703842709
ROU,54.5,54.5,19.4,7,9,-0.410208347732665,-0.660628764629645,-0.142698119494737,-0.404052735199587,-0.965796993173059,0,2023,18244.4186876321,2023,23.2502304421426,0.712612328410651,9.81161448690131
SAU,56.7,56.7,0,8,3,-0.479523781580278,-0.725896439801852,0.664666045463761,-0.770343532530054,0.939605888273451,0,2023,36156.8562500172,2017,50.1375935809361,0.779906130436457,10.4956218707381
SEN,8.2,8.2,0,7,6,1.04856646460574,0.712959126494521,0.664666045463761,-0.404052735199587,-0.0130955524498041,1,2023,1698.03387300843,2023,31.4479822503341,0.481354346700653,7.43722631544053
